snapped_at,price,market_cap,total_volume
2020-11-25 00:00:00 UTC,1.336430137780788,165523685.48998767,181009250.3489297
2020-11-26 00:00:00 UTC,1.2200192294197347,151412064.80490455,128087290.00011134
2020-11-27 00:00:00 UTC,1.4179130936960553,175606149.53456226,260867151.28887743
2020-11-28 00:00:00 UTC,1.439727485115571,179014025.10415405,203618063.60358766
2020-11-29 00:00:00 UTC,1.3640439447321413,170642028.77771786,90203775.69858187
2020-11-30 00:00:00 UTC,1.418253338883484,176575755.66437185,75576108.23543485
2020-12-01 00:00:00 UTC,1.5684390269686421,195563876.82023,138490907.0955865
2020-12-02 00:00:00 UTC,1.9572198159049476,242335479.7847818,470229783.1044729
2020-12-03 00:00:00 UTC,2.187046428265219,275382810.7485896,454367547.1366088
2020-12-04 00:00:00 UTC,2.133723211503135,268160042.0857302,205008814.63019592
2020-12-05 00:00:00 UTC,1.9135950227046754,241599691.92334533,194983464.0149949
2020-12-06 00:00:00 UTC,2.3152109560491145,293175750.1862747,250354508.10102803
2020-12-07 00:00:00 UTC,2.1815232980676074,276808338.6202137,166447483.42925698
2020-12-08 00:00:00 UTC,2.4255101892759017,309626364.86134756,236898538.0021226
2020-12-09 00:00:00 UTC,2.121546905032378,271559262.1132281,248244228.54298922
2020-12-10 00:00:00 UTC,2.231696498020479,286252631.31503,218307191.35674688
2020-12-11 00:00:00 UTC,2.1630658492621726,276221545.2405582,152450888.72042674
2020-12-12 00:00:00 UTC,1.939684476296973,246808125.0744484,166462818.60384122
2020-12-13 00:00:00 UTC,2.1464177223514787,273959606.0327177,135739295.38047183
2020-12-14 00:00:00 UTC,2.3838390867521637,301654808.701478,180505014.75625107
2020-12-15 00:00:00 UTC,2.5502567181730025,323825415.63908017,197295378.5537764
2020-12-16 00:00:00 UTC,2.738022693044251,349445253.59436154,298589276.07977873
2020-12-17 00:00:00 UTC,2.8410795064150487,358590766.17288053,353866541.5307817
2020-12-18 00:00:00 UTC,2.681942310341384,340293711.14875734,289862799.77367634
2020-12-19 00:00:00 UTC,2.8182139294908684,357594814.9034106,201186030.35933828
2020-12-20 00:00:00 UTC,2.8827867941722167,367436819.0228843,271935822.6214418
2020-12-21 00:00:00 UTC,2.690814245967957,342878985.88064986,200183926.09118345
2020-12-22 00:00:00 UTC,2.528079474230607,321554971.3063515,212561842.88001433
2020-12-23 00:00:00 UTC,2.7269902318193635,348264607.488624,263826533.46105385
2020-12-24 00:00:00 UTC,2.203266714133427,286475407.5124686,309757024.8272947
2020-12-25 00:00:00 UTC,2.5902018893603924,326132318.4554661,380366887.0871975
2020-12-26 00:00:00 UTC,2.5333678516067515,322190894.9185435,224749021.72457525
2020-12-27 00:00:00 UTC,2.385981381888633,303180752.9725098,188297660.6204141
2020-12-28 00:00:00 UTC,2.6389825455111375,338383619.6961265,289434766.4047172
2020-12-29 00:00:00 UTC,2.620786323437087,334466026.7550975,274512689.6590193
2020-12-30 00:00:00 UTC,2.5165353425131203,320707512.9571634,216653490.59570077
2020-12-31 00:00:00 UTC,2.6063728927139755,335895270.8086843,216458406.0613246
2021-01-01 00:00:00 UTC,2.8627971877140435,363590380.260421,267454744.28492162
2021-01-02 00:00:00 UTC,3.3241952905979963,421919120.7145377,424894334.3798594
2021-01-03 00:00:00 UTC,3.20439603631154,406583152.46733326,381106454.1282599
2021-01-04 00:00:00 UTC,3.495572462787396,447939723.308254,438004449.1740674
2021-01-05 00:00:00 UTC,3.478261980493992,438181359.73821187,561986731.1263406
2021-01-06 00:00:00 UTC,3.872301962083987,491611161.75281954,590756791.6348475
2021-01-07 00:00:00 UTC,3.8959251026946897,494956068.94809353,426601528.7192704
2021-01-08 00:00:00 UTC,3.9499406792120344,501140833.45261204,426564726.45930725
2021-01-09 00:00:00 UTC,4.3089930434153185,545092551.2775482,540729434.6024022
2021-01-10 00:00:00 UTC,4.69700770324206,600434909.4672515,571400676.398047
2021-01-11 00:00:00 UTC,4.421076280409998,565151264.267672,401350907.68797165
2021-01-12 00:00:00 UTC,3.873151891396766,489938969.6309571,526551612.9633487
2021-01-13 00:00:00 UTC,4.226319723286153,539841794.2470675,512729435.71760017
2021-01-14 00:00:00 UTC,5.143004837946721,653331818.5412595,607172267.46231
2021-01-15 00:00:00 UTC,5.545251674666185,697064617.1833159,624868542.0773113
2021-01-16 00:00:00 UTC,6.390447886175705,818220766.3672507,919226362.4040844
