snapped_at,price,market_cap,total_volume
2020-08-11 00:00:00 UTC,1.5709898771711353,48211542.65278695,241320442.37652075
2020-08-12 00:00:00 UTC,1.5709898771711353,48211542.65278695,241320442.37652075
2020-08-13 00:00:00 UTC,1.694211896926838,84749525.40128595,341752769.68344307
2020-08-14 00:00:00 UTC,2.0041762534295082,100355596.86303295,185032077.39669988
2020-08-15 00:00:00 UTC,1.8618980840674757,93098042.2120643,79136749.46819614
2020-08-16 00:00:00 UTC,1.663207840888923,83148205.4144871,52539157.918047816
2020-08-17 00:00:00 UTC,1.7310434783355537,86210274.71510614,49367938.85923627
2020-08-18 00:00:00 UTC,1.6451479928750254,82362355.47765715,29941852.282960996
2020-08-19 00:00:00 UTC,1.677687103362159,83661272.0939349,43409369.60073736
2020-08-20 00:00:00 UTC,1.5975768883869463,79783855.97858295,30239035.047330048
2020-08-21 00:00:00 UTC,1.7741395858687148,88827018.99031796,29323010.529023778
2020-08-22 00:00:00 UTC,1.5376198985619463,77065849.28892945,30630498.599326495
2020-08-23 00:00:00 UTC,1.5436315860971626,77153944.33729985,21641188.283368137
2020-08-24 00:00:00 UTC,1.5330167162637305,76632421.5775143,19128239.170578975
2020-08-25 00:00:00 UTC,1.8309444611196406,91404702.117097,75804699.7191451
2020-08-26 00:00:00 UTC,1.6736388362164136,83649170.75974765,36345506.081350155
2020-08-27 00:00:00 UTC,2.0700119564470794,103646120.98875085,75957841.38047922
2020-08-28 00:00:00 UTC,2.5438774256867944,126505457.6056463,295443938.73952776
2020-08-29 00:00:00 UTC,2.423528148910147,121613347.8729129,234579701.747137
2020-08-30 00:00:00 UTC,2.8662393543978593,144882705.5973504,210635101.91155794
2020-08-31 00:00:00 UTC,2.880482208249942,144116764.00718844,205666932.62761497
2020-09-01 00:00:00 UTC,3.4008637286797967,170179911.0358672,198922061.99524453
2020-09-02 00:00:00 UTC,3.1343667391317016,157414198.3360344,250092571.25934845
2020-09-03 00:00:00 UTC,3.624082342954862,180971968.40619355,226956944.38653016
2020-09-04 00:00:00 UTC,2.883877223035585,145407494.2012052,156688972.89649427
2020-09-05 00:00:00 UTC,2.897334424556605,144406154.65562126,125133160.78977048
2020-09-06 00:00:00 UTC,2.2100294842498167,110146931.5639742,280406067.32274514
2020-09-07 00:00:00 UTC,2.6134489012456914,130087004.6273497,302300956.5349407
2020-09-08 00:00:00 UTC,2.414113056034509,121212899.73013546,309837813.40994316
2020-09-09 00:00:00 UTC,2.1414407545016556,106556252.36693954,303628593.69932336
2020-09-10 00:00:00 UTC,2.4493607323816122,122627036.63516715,314647821.1330281
2020-09-11 00:00:00 UTC,2.2915729712095225,114979845.7970471,248905472.39857957
2020-09-12 00:00:00 UTC,2.371776338284159,118584879.8170733,287675694.7775301
2020-09-13 00:00:00 UTC,2.3995029302660744,120180679.1037417,183845699.65892687
2020-09-14 00:00:00 UTC,2.3770128782575832,117539582.2760005,370443430.1649763
2020-09-15 00:00:00 UTC,2.3961941126220103,119809705.6311005,324155367.12276644
2020-09-16 00:00:00 UTC,2.0422263264297924,101725218.6281024,303767003.5970497
2020-09-17 00:00:00 UTC,1.8350874388917386,91739393.0843705,121460843.40641579
2020-09-18 00:00:00 UTC,1.9406104689592714,96937092.5195412,76071403.71951608
2020-09-19 00:00:00 UTC,2.088591506874148,103477719.92325164,110960471.69361196
2020-09-20 00:00:00 UTC,2.013562500121331,100704047.63369416,60630937.63244756
2020-09-21 00:00:00 UTC,1.8850669618665334,94423541.70566325,51876862.93217669
2020-09-22 00:00:00 UTC,1.7345663830093856,87772510.7226962,98509980.78619444
2020-09-23 00:00:00 UTC,1.864735881858318,93125905.0484006,55755041.88571179
2020-09-24 00:00:00 UTC,1.7481692586613344,87914727.71703425,50214255.442369014
2020-09-25 00:00:00 UTC,1.9738687413013698,98726543.26440395,52034122.107176065
2020-09-26 00:00:00 UTC,1.972673528003527,98557802.5735363,74141377.50203414
2020-09-27 00:00:00 UTC,1.9009009645134263,95034598.4400214,38639723.04009073
2020-09-28 00:00:00 UTC,1.8797097465698605,93816211.5978433,28283404.554926362
2020-09-29 00:00:00 UTC,1.7784983961554364,88537807.4429899,28065573.20257059
2020-09-30 00:00:00 UTC,1.7771557231171897,88903916.8955498,26328479.288813427
2020-10-01 00:00:00 UTC,1.8439090134684109,92211833.9552588,37769315.12985012
2020-10-02 00:00:00 UTC,1.7787103269756241,88902201.31098676,52758078.32451206
2020-10-03 00:00:00 UTC,1.6507460244238574,82016316.6832098,47155221.60670443
2020-10-04 00:00:00 UTC,1.5825916834635148,79725694.2444689,22356611.383028645
2020-10-05 00:00:00 UTC,1.5863452994979843,79584495.7354099,25725443.159734305
2020-10-06 00:00:00 UTC,1.55125925793456,76795241.56561714,27395005.94456459
2020-10-07 00:00:00 UTC,1.1530393855283687,57611574.8798721,47318730.754689656
2020-10-08 00:00:00 UTC,1.235352362291783,61791820.1055396,63079359.137576595
2020-10-09 00:00:00 UTC,1.2609661914242685,62869388.37086985,40741486.36565019
2020-10-10 00:00:00 UTC,1.3662492377749953,68277019.35355595,41401081.99368622
2020-10-11 00:00:00 UTC,1.258301414733456,63000854.01106295,26585074.081974503
2020-10-12 00:00:00 UTC,1.2890556464466332,64426973.4696338,29340920.463722166
2020-10-13 00:00:00 UTC,1.3136106838206216,65652204.4020014,29692073.88114593
2020-10-14 00:00:00 UTC,1.3360108260592374,66831654.66586695,21400946.718045
2020-10-15 00:00:00 UTC,1.3689943303099779,68431220.0294196,29486808.99588104
