snapped_at,price,market_cap,total_volume
2020-11-23 00:00:00 UTC,68.94826030996876,818765341.4278148,192663961.83849958
2020-11-24 00:00:00 UTC,72.10694374873245,847989372.6051859,201150328.8925038
2020-11-25 00:00:00 UTC,66.52957037730538,787913191.4143705,186814805.42503282
2020-11-26 00:00:00 UTC,61.8972206018244,727589990.4092867,149005736.1703196
2020-11-27 00:00:00 UTC,64.061804867464,758426191.5998985,283724867.8579672
2020-11-28 00:00:00 UTC,60.94939285731903,725088170.4367104,198748420.3982065
2020-11-29 00:00:00 UTC,63.78184361606367,759087952.9198147,132244835.61693434
2020-11-30 00:00:00 UTC,68.61749728160754,810942893.3148122,156645971.2714501
2020-12-01 00:00:00 UTC,75.90579488998152,907887569.0655369,268649729.12712234
2020-12-02 00:00:00 UTC,74.80793597234688,891295522.9004388,251204125.2979335
2020-12-03 00:00:00 UTC,86.75431730195366,1034080775.747299,429952052.3676695
2020-12-04 00:00:00 UTC,91.34843597526516,1089131288.6727953,372498408.0321101
2020-12-05 00:00:00 UTC,81.62929191559537,972429249.847797,338137329.89404947
2020-12-06 00:00:00 UTC,91.90316690030038,1095578241.3948662,325207311.86678016
2020-12-07 00:00:00 UTC,87.89317636076323,1053855742.054622,257691944.63160866
2020-12-08 00:00:00 UTC,90.85392083063093,1089724613.6056843,298053934.1594298
2020-12-09 00:00:00 UTC,80.02686599187732,966774600.2425629,370163483.9357561
2020-12-10 00:00:00 UTC,84.40152391641126,1015706174.1462901,373010015.51110315
2020-12-11 00:00:00 UTC,76.84185657350073,916928873.4258934,299136045.8179294
2020-12-12 00:00:00 UTC,75.00941490888397,901323895.9973115,351638038.12797153
2020-12-13 00:00:00 UTC,77.88268317432907,935054031.0779814,255172245.9783033
2020-12-14 00:00:00 UTC,83.52828425311657,997014828.2355895,275641175.4409692
2020-12-15 00:00:00 UTC,86.17848157922091,1034946334.2375114,356331682.5331414
2020-12-16 00:00:00 UTC,87.03986623024156,1043764495.6853276,325837617.95974
